idHotel	name	description	price	idAsUUID
11	Pokój deluxe 2 os.	2-os. (możliwość 1 lub 2 dostawek dla dzieci),  ok. 40 m²,  indywidualnie sterowana klimatyzacja,  łazienka (prysznic, wc, suszarka),  internet bezprzewodowy w miejscach ogólnodostępnych,  telewizja satelitarna,  sejf,  zestaw do kawy/herbaty,  napoje bezalkoholowe i lokalne alkohole dostępne całodobowo,  raz na pobyt kolacja w restauracji à la carte,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon (stolik i krzesełka),  za opłatą: minibar (płatny wg konsumpcji)	3899	94048684-9bc2-4e03-abe6-3f57d38555a4
11	Pokój premium jacuzzi 2 os.	2-os. (możliwość 1 lub 2 dostawek dla dzieci),  ok. 50 m²,  indywidualnie sterowana klimatyzacja,  łazienka z jacuzzi (prysznic, wc, suszarka; szlafroki i kapcie),  internet bezprzewodowy w miejscach ogólnodostępnych,  telewizja satelitarna,  sejf,  zestaw do kawy/herbaty,  minibar,  napoje bezalkoholowe i lokalne alkohole dostępne całodobowo,  kolacje w restauracji à la carte bez limitu,  wstęp do VIP lounge,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon (stolik i krzesełka)	4099	6996377f-b81d-4c6c-81a5-f613350c838c
11	Pokój superior 2 os. + 1 dostawka	2-os. (możliwość 1 lub 2 dostawek dla dzieci),  elegancki, nowoczesny,  ok. 40 m²,  indywidualnie sterowana klimatyzacja,  łazienka (prysznic, wc, suszarka),  telewizja satelitarna,  sejf,  zestaw do kawy/herbaty,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon (stolik i krzesełka),  za opłatą: minibar (płatny wg konsumpcji)	3499	6a7ec25e-43b9-4b4f-9d07-b59e7d1567e8
11	Pokój deluxe 2 os. + 1 dostawka	2-os. (możliwość 1 lub 2 dostawek dla dzieci),  ok. 40 m²,  indywidualnie sterowana klimatyzacja,  łazienka (prysznic, wc, suszarka),  internet bezprzewodowy w miejscach ogólnodostępnych,  telewizja satelitarna,  sejf,  zestaw do kawy/herbaty,  napoje bezalkoholowe i lokalne alkohole dostępne całodobowo,  raz na pobyt kolacja w restauracji à la carte,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon (stolik i krzesełka),  za opłatą: minibar (płatny wg konsumpcji)	4099	3dc2d338-f5d2-41ff-af43-3f8a0233d490
11	Pokój premium jacuzzi 2 os. + 1 dostawka	2-os. (możliwość 1 lub 2 dostawek dla dzieci),  ok. 50 m²,  indywidualnie sterowana klimatyzacja,  łazienka z jacuzzi (prysznic, wc, suszarka; szlafroki i kapcie),  internet bezprzewodowy w miejscach ogólnodostępnych,  telewizja satelitarna,  sejf,  zestaw do kawy/herbaty,  minibar,  napoje bezalkoholowe i lokalne alkohole dostępne całodobowo,  kolacje w restauracji à la carte bez limitu,  wstęp do VIP lounge,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon (stolik i krzesełka)	4399	a848552f-b31a-4830-83ca-e6e1f4b2c19d
12	Pokój 1 os. Pokój 1 os.	Pokój 1 os. Pokój 1 os.	7089	d85b5d8a-83a6-4810-b832-fd498463fd7e
12	Pokój 2 os.	2-os.,  ok. 20 m²,  klimatyzowany,  wentylator sufitowy,  łazienka (prysznic, wc, suszarka, zestaw kosmetyków, lusterko kosmetyczne),  moskitiera,  internet bezprzewodowy,  telewizja satelitarna,  zestaw do kawy/herbaty,  sejf,  balkon lub taras,  za opłatą: minibar (wg konsumpcji)	3399	ca662ef7-39ff-43bb-92bc-cabe1520f6af
13	Pokój 1 os. Pokój 1 os.	Pokój 1 os. Pokój 1 os.	3998	afb55964-2c04-437b-b8fb-949d07c41838
13	Pokój deluxe 2 os.	2-os. (możliwość 1 dostawki dla dziecka),  ok. 40 m²,  indywidualnie sterowana klimatyzacja,  łazienka (wanna lub prysznic, wc, suszarka),  internet bezprzewodowy (limitowana prędkość),  telewizja satelitarna,  telefon,  zestaw do kawy/herbaty,  sejf,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon lub taras,  widok na basen,  za opłatą: minibar	2899	6bebe968-8688-4b43-977a-d79a01a842f8
13	Pokój premium deluxe 2 os.	2-os. (możliwość 1 dostawki dla os. dorosłej lub 2 dzieci – łóżko pojedyncze),  ok. 48 m²,  łazienka (wanna lub prysznic, wc, suszarka),  internet bezprzewodowy (limitowana prędkość),  telewizja satelitarna,  telefon,  zestaw do kawy/herbaty,  sejf,  bezpłatne łóżeczko dla dziecka do 2 lat na zamówienie przed przyjazdem,  balkon lub taras,  za opłatą: minibar	3199	c8a1852f-f2a8-424c-bd61-2a36c84c5e34
